Avatar,Money Made,,
Avengers: Endgame,"$2,797,501,328",,
Titanic,"$2,201,647,264",,
Star Wars: Episode VII - The Force Awakens,"$2,069,521,700",,
Avengers: Infinity War,"$2,048,359,754",,
Spider-Man: No Way Home,"$1,915,958,692",,
Jurassic World,"$1,671,537,444",,
The Lion King,"$1,663,250,487",,
The Avengers,"$1,518,815,515",,
Furious 7,"$1,515,341,399",,
Top Gun: Maverick,"$1,464,208,153",,
Frozen II,"$1,450,026,933",,
Avengers: Age of Ultron,"$1,402,809,540",,
Black Panther,"$1,347,597,973",,
Harry Potter and the Deathly Hallows: Part 2,"$1,342,359,942",,
Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830",,
Jurassic World: Fallen Kingdom,"$1,310,466,296",,
Frozen,"$1,281,508,100",,
Beauty and the Beast,"$1,273,576,220",,
Incredibles 2,"$1,243,089,244",,
The Fate of the Furious,"$1,236,005,118",,
Iron Man 3,"$1,214,811,252",,
Minions,"$1,159,444,662",,
Captain America: Civil War,"$1,153,337,496",,
Aquaman,"$1,148,528,393",,
The Lord of the Rings: The Return of the King,"$1,146,436,214",,
Spider-Man: Far from Home,"$1,131,927,996",,
Captain Marvel,"$1,128,462,972",,
Transformers: Dark of the Moon,"$1,123,794,079",,
Jurassic Park,"$1,109,802,321",,
Skyfall,"$1,108,569,499",,
Transformers: Age of Extinction,"$1,104,054,072",,
The Dark Knight Rises,"$1,081,153,097",,
Joker,"$1,074,445,730",,
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,149,279",,
Toy Story 4,"$1,073,394,593",,
Toy Story 3,"$1,066,970,811",,
Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",,
The Lion King,"$1,063,611,805",,
Rogue One: A Star Wars Story,"$1,058,682,142",,
Aladdin,"$1,050,693,953",,
Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",,
Despicable Me 3,"$1,034,800,131",,
Finding Dory,"$1,028,570,942",,
Star Wars: Episode I - The Phantom Menace,"$1,027,082,707",,
Alice in Wonderland,"$1,025,468,216",,
Zootopia,"$1,024,121,104",,
Harry Potter and the Sorcerer's Stone,"$1,022,290,019",,
The Hobbit: An Unexpected Journey,"$1,017,030,651",,
The Dark Knight,"$1,006,222,205",,
Jurassic World Dominion,"$997,814,080",,
Harry Potter and the Deathly Hallows: Part 1,"$977,070,383",,
Despicable Me 2,"$970,766,005",,
The Jungle Book,"$966,554,929",,
Jumanji: Welcome to the Jungle,"$962,542,945",,
The Hobbit: The Battle of the Five Armies,"$962,201,338",,
Pirates of the Caribbean: At World's End,"$960,996,492",,
The Hobbit: The Desolation of Smaug,"$959,027,992",,
